Frequency [Hz]	Re(Zlong) [Ohm]	Im(Zlong) [Ohm]
1.00000000e-02 1.78872118e-15 1.19998765e-09
1.00000000e-01 1.78872355e-13 1.19998765e-08
1.00000000e+00 1.78872585e-11 1.19998762e-07
1.00000000e+02 1.78813916e-07 1.19966451e-05
1.12201845e+02 2.25094124e-07 1.34595188e-05
1.25892541e+02 2.83346193e-07 1.51005032e-05
1.41253754e+02 3.56663357e-07 1.69411718e-05
1.58489319e+02 4.48935925e-07 1.90056646e-05
1.77827941e+02 5.65055419e-07 2.13209749e-05
1.99526231e+02 7.11170262e-07 2.39172589e-05
2.23872114e+02 8.95005613e-07 2.68281687e-05
2.51188643e+02 1.12626275e-06 3.00912034e-05
2.81838293e+02 1.41711671e-06 3.37480726e-05
3.16227766e+02 1.78283471e-06 3.78450622e-05
3.54813389e+02 2.24254189e-06 4.24333848e-05
3.98107171e+02 2.82016532e-06 4.75694899e-05
4.46683592e+02 3.54559102e-06 5.33152971e-05
5.01187234e+02 4.45607146e-06 5.97383006e-05
5.62341325e+02 5.59792119e-06 6.69114677e-05
6.30957344e+02 7.02853301e-06 7.49128330e-05
7.07945784e+02 8.81873400e-06 8.38246462e-05
7.94328235e+02 1.10554727e-05 9.37318943e-05
8.91250938e+02 1.38447805e-05 1.04719966e-04
1.00000000e+03 1.73148682e-05 1.16871171e-04
1.12201845e+03 2.16190970e-05 1.30259801e-04
1.25892541e+03 2.69383794e-05 1.44945376e-04
1.41253754e+03 3.34823256e-05 1.60963815e-04
1.58489319e+03 4.14881482e-05 1.78316403e-04
1.77827941e+03 5.12160187e-05 1.96956803e-04
1.99526231e+03 6.29393222e-05 2.16776972e-04
2.23872114e+03 7.69282397e-05 2.37593735e-04
2.51188643e+03 9.34255548e-05 2.59138951e-04
2.81838293e+03 1.12614806e-04 2.81057358e-04
3.16227766e+03 1.34583076e-04 3.02916884e-04
3.54813389e+03 1.59283655e-04 3.24235683e-04
3.98107171e+03 1.86506849e-04 3.44527688e-04
4.46683592e+03 2.15868831e-04 3.63363877e-04
5.01187234e+03 2.46827158e-04 3.80440521e-04
5.62341325e+03 2.78726409e-04 3.95640781e-04
6.30957344e+03 3.10869313e-04 4.09074699e-04
7.07945784e+03 3.42600734e-04 4.21086640e-04
7.94328235e+03 3.73387520e-04 4.32227640e-04
8.91250938e+03 4.02878775e-04 4.43199470e-04
1.00000000e+04 4.30937601e-04 4.54783612e-04
1.12201845e+04 4.57643699e-04 4.67769507e-04
1.25892541e+04 4.83272722e-04 4.82892987e-04
1.41253754e+04 5.08261072e-04 5.00790236e-04
1.58489319e+04 5.33164069e-04 5.21967595e-04
1.77827941e+04 5.58612622e-04 5.46784694e-04
1.99526231e+04 5.85270458e-04 5.75447945e-04
2.23872114e+04 6.13791924e-04 6.08012801e-04
2.51188643e+04 6.44780093e-04 6.44395313e-04
2.81838293e+04 6.78746362e-04 6.84395126e-04
3.16227766e+04 7.16075466e-04 7.27732223e-04
3.54813389e+04 7.57002609e-04 7.74097531e-04
3.98107171e+04 8.01610567e-04 8.23213030e-04
4.46683592e+04 8.49852430e-04 8.74891678e-04
5.01187234e+04 9.01599605e-04 9.29083733e-04
5.62341325e+04 9.56706393e-04 9.85896805e-04
6.30957344e+04 1.01507546e-03 1.04558341e-03
7.07945784e+04 1.07670849e-03 1.10850071e-03
7.94328235e+04 1.14171634e-03 1.17504999e-03
8.91250938e+04 1.21032682e-03 1.24563342e-03
1.00000000e+05 1.28283109e-03 1.32061112e-03
1.12201845e+05 1.35955246e-03 1.40029868e-03
1.25892541e+05 1.44081206e-03 1.48498175e-03
1.41253754e+05 1.52691450e-03 1.57494278e-03
1.58489319e+05 1.61815149e-03 1.67048593e-03
1.77827941e+05 1.71481567e-03 1.77195138e-03
1.99526231e+05 1.81721504e-03 1.87971802e-03
2.23872114e+05 1.92568153e-03 1.99419927e-03
2.51188643e+05 2.04057288e-03 2.11583869e-03
2.81838293e+05 2.16227103e-03 2.24510890e-03
3.16227766e+05 2.29118076e-03 2.38251401e-03
3.54813389e+05 2.42773000e-03 2.52859350e-03
3.98107171e+05 2.57237145e-03 2.68392601e-03
4.46683592e+05 2.72558456e-03 2.84913264e-03
5.01187234e+05 2.88787733e-03 3.02488028e-03
5.62341325e+05 3.05978789e-03 3.21188530e-03
6.30957344e+05 3.24188633e-03 3.41091765e-03
7.07945784e+05 3.43477654e-03 3.62280545e-03
7.94328235e+05 3.63909824e-03 3.84843997e-03
8.91250938e+05 3.85552911e-03 4.08878107e-03
1.00000000e+06 4.08478704e-03 4.34486318e-03
1.12201845e+06 4.32763256e-03 4.61780190e-03
1.25892541e+06 4.58487132e-03 4.90880119e-03
1.41253754e+06 4.85735686e-03 5.21916138e-03
1.58489319e+06 5.14599340e-03 5.55028786e-03
1.77827941e+06 5.45173889e-03 5.90370073e-03
1.99526231e+06 5.77560824e-03 6.28104547e-03
2.23872114e+06 6.11867672e-03 6.68410460e-03
2.51188643e+06 6.48208357e-03 7.11481066e-03
2.81838293e+06 6.86703586e-03 7.57526048e-03
3.16227766e+06 7.27481255e-03 8.06773096e-03
3.54813389e+06 7.70676832e-03 8.59469621e-03
3.98107171e+06 8.16459947e-03 9.15844937e-03
4.46683592e+06 8.64905020e-03 9.76311655e-03
5.01187234e+06 9.16250975e-03 1.04106920e-02
5.62341325e+06 9.70642866e-03 1.11050546e-02
6.30957344e+06 1.02826185e-02 1.18500013e-02
7.07945784e+06 1.08929996e-02 1.26496788e-02
7.94328235e+06 1.15396076e-02 1.35086190e-02
