Warning: alpha00, omega= 0.19869176531592203511368017317604995351179727744151346090234312E5, flagreal= 0, result= -3.79303446e+07, rel. error= 7.01668312e-08
Warning: alpha02, omega= 0.19869176531592203511368017317604995351179727744151346090234312E5, flagreal= 0, result= -1.53134181e+27, rel. error= 7.58130533e-06
Warning: alpha11, omega= 0.19869176531592203511368017317604995351179727744151346090234312E5, flagreal= 0, result= -1.25241052e+27, rel. error= 5.54804002e-06
Warning: alpha00, omega= 0.22293582740229919958604011372383040516894352268307725735014083E5, flagreal= 1, result= 9.92390181e+07, rel. error= 3.93335015e-08
Warning: alpha00, omega= 0.22293582740229919958604011372383040516894352268307725735014083E5, flagreal= 0, result= -3.75103194e+07, rel. error= 7.90269819e-08
Warning: alpha02, omega= 0.22293582740229919958604011372383040516894352268307725735014083E5, flagreal= 0, result= -1.31529467e+27, rel. error= 2.47575838e-06
Warning: alpha11, omega= 0.22293582740229919958604011372383040516894352268307725735014083E5, flagreal= 0, result= -1.07955855e+27, rel. error= 2.87049400e-06
Warning: alpha00, omega= 0.25013811247045721215287288320810446837572128367112553644286254E5, flagreal= 1, result= 9.67098573e+07, rel. error= 3.57412489e-08
Warning: alpha00, omega= 0.25013811247045721215287288320810446837572128367112553644286254E5, flagreal= 0, result= -3.71538386e+07, rel. error= 2.79397211e-08
Warning: alpha02, omega= 0.25013811247045721215287288320810446837572128367112553644286254E5, flagreal= 0, result= -1.12902374e+27, rel. error= 4.76521198e-06
Warning: alpha11, omega= 0.25013811247045721215287288320810446837572128367112553644286254E5, flagreal= 0, result= -9.30437385e+26, rel. error= 2.94466389e-06
Warning: alpha00, omega= 0.28065957831611300072420225873182543359285074372159645232303318E5, flagreal= 0, result= -3.68490067e+07, rel. error= 2.67356600e-08
Warning: alpha02, omega= 0.28065957831611300072420225873182543359285074372159645232303318E5, flagreal= 0, result= -9.68501274e+26, rel. error= 1.28535096e-06
Warning: alpha00, omega= 0.31490522624728613855278653545329996431762577889737862346892463E5, flagreal= 0, result= -3.65815330e+07, rel. error= 2.72673895e-08
Warning: alpha02, omega= 0.31490522624728613855278653545329996431762577889737862346892463E5, flagreal= 0, result= -8.30227766e+26, rel. error= 2.94012563e-06
Warning: alpha00, omega= 0.35332947520558993865333180737398250574416250730516668675261508E5, flagreal= 0, result= -3.63356947e+07, rel. error= 1.73285041e-08
Elapsed time during calculation: 175.00 seconds
